” E-MOD
3 O
câmara O
deputados O
comissão O
especial O
destinada O
a O
apreciar O
e O
proferir O
parecer O


 O
à O
proposta O
de O
emenda O
à O
constituição O
nº O
6 O
, O
de O
2019 O
– O
reforma O
da O
previdência O


 O
proposta O
de O
emenda O
à O
constituição O
nº O
6 O
, O
de I-SUP
2019 O


 I-SUP
( O
do O
sr. O
guilherme O
derrite O
) O




 O
emenda O
aditiva O
/ O
modificativa O
nº O




 O
acrescenta O
a I-MOD
o I-MOD
art I-ADD
. I-ADD
40 I-MOD
alterado I-MOD
pelo I-MOD
art I-MOD
. I-MOD
1ª I-MOD


 I-SUP
da I-SUP
proposta I-ADD
de I-ADD
emenda I-ADD
à O
constituição O
nº O


 O
06 I-ADD
, I-ADD
de I-SUP
2019 I-SUP
os I-SUP
parágrafos I-MOD
18 I-MOD
e I-MOD
19 I-MOD
, I-MOD
altera I-MOD
a I-MOD


 I-MOD
redação I-MOD
do I-MOD
§ I-MOD
7º I-MOD
do I-MOD
artigo I-MOD
6º I-MOD
, I-MOD
do I-MOD
§ I-MOD
5º I-MOD
do I-MOD
art I-SUP
. I-MOD


 I-MOD
12 I-MOD
e I-MOD
altera I-MOD
a I-MOD
redação I-MOD
do I-MOD
§ I-MOD
2º I-SUP
do I-MOD
artigo I-ADD
25 I-ADD
, I-SUP


 I-SUP
incluídos I-SUP
na I-SUP
proposta I-SUP
de I-SUP
emenda I-ADD
à O


 O
constituição O
nº O
06 O
, O
de O
2019 O
conforme I-MOD
textos I-MOD


 I-MOD
abaixo I-MOD
: I-MOD


 I-MOD
acrescente I-MOD
- I-MOD
se I-MOD
a I-MOD
o I-MOD
art I-MOD
. I-ADD
40 I-MOD
, I-ADD
alterado I-MOD
pelo I-MOD
art I-MOD
. I-MOD
1ª I-SUP
da I-ADD
proposta I-ADD
de I-ADD
emenda O
à O
constituição O
nº O
06 O
, I-ADD
de I-ADD
2019 I-SUP
, I-SUP
os I-MOD
